ID,ALIAS,DESCRIPTION,MESSAGE,NAME,STATUS,SUBENTITYID
1,LOGIN_ACTION,Login Action,Staff $entityName has logged in successfully.,Login Action,ACTIVE,19
2,LOGOUT_ACTION,logout action,Staff $entityName has logged out successfully.,Logout Action,ACTIVE,19
3,CREATE_SERVER,create server,New server $entityName created.,create server,ACTIVE,1
4,UPDATE_SERVER,Update Server Details,Server $entityName updated.,Update Server Details,ACTIVE,1
5,DELETE_SERVER,delete server,Server $entityName deleted.,Delete Server,ACTIVE,1
6,CREATE_SERVER_INSTANCE,Create Server Instance,New server instance $entityName created.,Create Server Instance,ACTIVE,2
7,UPDATE_SERVER_INSTANCE_ADVANCE_CONFIGURATION,Update Server Advance Details,Advance Configuration updated for server instance  $serverInstanceName,Update Server Advance Details,ACTIVE,2
8,DELETE_SERVER_INSTANCE,Delete Server Instance,Server instance $entityName deleted.,Delete Server Instance ,ACTIVE,2
9,IMPORT_SERVER_INSTANCE_CONFIGURATION,Import Server Instance Configuration,Server configuration imported for server instance $serverInstanceName.,Import Server Instance Configuration,ACTIVE,2
10,EXPORT_SERVER_INSTANCE_CONFIGURATION,Export Server Instance Configuration,Server configuration exported for server instance $serverInstanceName.,Export Server Instance Configuration,ACTIVE,2
11,SYNCHRONIZE_SERVER_INSTANCE_ACTION,Synchronize To Server Instance Action,Synchronize server instance action performed for server instance $serverInstanceName.,Synchronize To Server Action,ACTIVE,2
12,SOFT_RESTART_SERVER_INSTANCE,Soft Restart ,Soft Restart server instance action performed for server instance $serverInstanceName.,Soft Restart,ACTIVE,2
13,RELOAD_SERVER_INSTANCE_CONFIGURATION,Reload Configuration,Reload Configuration action performed for server instance $serverInstanceName.,Reload Configuration Instance,ACTIVE,2
14,RELOAD_SERVER_INSTANCE_CACHE,Reload Cache,Reload Cache action performed for server instance $serverInstanceName.,Reload Cache Instance,ACTIVE,2
15,START_SERVER_INSTANCE,Start Server,Start server instance action performed for server instance $serverInstanceName.,Start Server Instance,ACTIVE,2
16,STOP_SERVER_INSTANCE,Stop Server,Stop server instance action performed for server instance $serverInstanceName.,Stop Server Instance,ACTIVE,2
17,RESTART_SERVER_INSTANCE,Restart Server,Restart server instance action performed for server instance $serverInstanceName.,Restart Server Instance,ACTIVE,2
18,COPY_CONFIG_SERVER_INSTANCE,Restart Server,Copy Configuration action performed for server instance $serverInstanceName.,Copy Server Instance,ACTIVE,2
19,CREATE_SERVICE,Create Service,New service $entityName created for server instance $serverInstanceName.,Create Service,ACTIVE,11
20,DELETE_SERVICE,Delete Service,Service $entityName deleted from server instance $serverInstanceName.,Remove Service,ACTIVE,11
21,UPDATE_SERVICE_CONFIGURATION,Update Service Configuration,Service Configuration updated for service $entityName in server instance $serverInstanceName.,Update Service Configuration,ACTIVE,11
22,SYNCHRONIZE_SERVICE,SYNCHRONIZE_SERVICE,Synchronize service action performed for service $entityName of type $serviceType for server instance $serverInstanceName.,Synchronize To Service,ACTIVE,11
23,IMPORT_SERVICE_CONFIGURATION,Import Service Configuration,Service configuration imported for service $entityName of type $serviceType for server instance $serverInstanceName.,Import Service Configuration,ACTIVE,11
24,EXPORT_SERVICE_CONFIGURATION,Export Service Configration,Service configuration exported for service $entityName of type $serviceType for server instance $serverInstanceName. ,Export Service Configration,ACTIVE,11
25,STOP_SERVICE,Stop Service,Stop service action performed for service $entityName in server instance $serverInstanceName ,stop service,ACTIVE,11
26,START_SERVICE,start Service,Start service action performed for service $entityName in server instance $serverInstanceName.,start Service,ACTIVE,11
27,CREATE_DRIVER,create driver,Service driver $entityName created for service $serviceName in server instance $serverInstanceName,create driver,ACTIVE,14
28,UPDATE_DRIVER,update driver,Service driver $entityName updated for service $serviceName in server instance $serverInstanceName,update driver,ACTIVE,14
29,DELETE_DRIVER,delete driver,Service driver $entityName deleted for service $serviceName in server instance $serverInstanceName.,delete driver,ACTIVE,14
30,UPDATE_DRIVER_STATUS,update driver status,Service Driver  $entityName status updated for service $serviceName in server instance $serverInstanceName.,change driver status,ACTIVE,14
31,UPDATE_DRIVER_APLICATION_ORDER,Update driver application order,Service Driver $entityName application order updated in service $serviceName in server instance $serverInstanceName.,update driver application order,ACTIVE,14
32,CREATE_CLIENT,Create Client,New client $entityName created in service $serviceName in  server instance $serverInstanceName.,Create Client,ACTIVE,15
33,UPDATE_CLIENT,update Client,Client $entityName updated for service $serviceName in  server instance $serverInstanceName.,update client,ACTIVE,15
34,DELETE_CLIENT,delete Client,Client $entityName deleted for service $serviceName in  server instance $serverInstanceName.,delete client,ACTIVE,15
35,UPDATE_CLIENT_STATUS,Update Client status,Client status updated for service $serviceName in  server instance $serverInstanceName.,change client status,ACTIVE,15
36,CREATE_PATHLIST,Create Pathlist,New pathlist $entityName created in service $serviceName in  server instance $serverInstanceName.,Create Pathlist,ACTIVE,18
37,UPDATE_PATHLIST,Update Pathlist,Pathlist $entityName updated in service $serviceName in server instance $serverInstanceName.,Update Pathlist,ACTIVE,18
38,DELETE_PATHLIST,Delete pathlist,Pathlist $entityName deleted from service $serviceName in  server instance $serverInstanceName.,Delete pathlist,ACTIVE,18
39,CREATE_PARSER,Create Parser,New parser $parserName created in service $serviceName in  server instance $serverInstanceName.,Add parser,ACTIVE,16
40,UPDATE_PARSER,Update Parser,Parser $parserName updated for service $serviceName in server instance $serverInstanceName.,Update Parser,ACTIVE,16
41,DELETE_PARSER,Delete Parser,Parser $parserName deleted from service $serviceName in server instance $serverInstanceName.,Delete Parser,ACTIVE,16
42,CREATE_COMPOSER,create composer,New composer $entityName created in service $serviceName in  server instance $serverInstanceName.,create composer,ACTIVE,17
43,UPDATE_COMPOSER,update composer,Composer $entityName updated in service $serviceName in server instance $serverInstanceName.,update composer,ACTIVE,17
44,DELETE_COMPOSER,delete composer,Composer $entityName deleted from service $serviceName in server instance $serverInstanceName.,delete composer,ACTIVE,17
45,CREATE_STAFF,Create Staff,New Staff $entityName created.,Create staff,ACTIVE,9
46,DELETE_STAFF,Delete Staff,Staff $entityName deleted.,Delete Staff,ACTIVE,9
47,UPDATE_STAFF_STATUS,Update Staff status,Staff status updated for $entityName.,Change Staff status,ACTIVE,9
48,UPDATE_STAFF_DETAILS,update Staff details,Staff details updated for staffName $staffName.,update Staff details,ACTIVE,9
49,UPDATE_STAFF_ACCESS_GROUP,update Staff access group,$name access group updated by Staff $staffName,update Staff access group,ACTIVE,9
50,UPDATE_STAFF_USERNAME,Update Staff username,Staff username modified by staff $staffName,Update Staff username,ACTIVE,9
51,UPDATE_STAFF_PASSWORD,Update Staff Password,Staff password updated for $entityName.,Change Staff Password,ACTIVE,9
52,CREATE_ACCESS_GROUP,Create access group,New access group $entityName created.,create access group,ACTIVE,10
53,DELETE_ACCESS_GROUP,delete access group,Access group $entityName deleted.,delete access group,ACTIVE,10
54,UPDATE_ACCESS_GROUP,update access group,Access group $entityName updated.,update access group,ACTIVE,10
55,UPDATE_SYSTEM_PARAMETER,update system parameter,System Parameter $entityName updated. ,update system parameter,ACTIVE,6
56,INVALID_LOGIN,invalid login,Invalid Login Attempt (wrong Password).,invalid login,ACTIVE,19
57,LOCKED_LOGIN_DENIED,login denied,Login Denied for Locked staff.,login denied,ACTIVE,19
58,UNAUTHORIZED_IP_LOGIN_DENIED,unauthorized IP Login denied,Login Denied for attempt from non-authorized IP.,unauthorized IP Login denied,ACTIVE,19
59,CREATE_PARSER_ATTRIBUTE,Create parser attribute,Attribute created for mapping $entityName.,Add parser attribute.,ACTIVE,16
60,DELETE_PARSER_ATTRIBUTE,Delete parser attribute,Attribute deleted for mapping $entityName,Delete parser attribute,ACTIVE,16
61,UPDATE_PARSER_ATTRIBUTE,Update parser attribute,Attribute updated for mapping $entityName.,Update Parser attribute,ACTIVE,16
62,CREATE_COMPOSER_ATTRIBUTE,Create composer attribute,Attribute created for mapping $entityName,Create composer attribute,ACTIVE,17
63,DELETE_COMPOSER_ATTRIBUTE,Delete composer attribute,Attribute deleted for mapping $entityName,Delete composer attribute,ACTIVE,17
